FECHA_CORTE;UBIGEO;DEPARTAMENTO;PROVINCIA ;DISTRITO;ANIO;SEMESTRE;FECHA_DE_MATRICULA;ESCUELA;CURSOS;CREDITOS;EDAD
20230627;80601;CUSCO;CANCHIS;SICUANI;2023;2023-1;1072023;ECONOMÍA;6;20;22
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;2072023;ECONOMÍA;6;20;17
20230627;80906;CUSCO;LA CONVENCIÓN;QUELLOUNO;2023;2023-1;3072023;ECONOMÍA;6;20;16
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;4072023;ECONOMÍA;6;20;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;5072023;ECONOMÍA;6;20;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;6072023;ECONOMÍA;6;20;29
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;7072023;ECONOMÍA;6;20;17
20230627;30506;APURÍMAC;COTABAMBAS;CHALLHUAHUACHO;2023;2023-1;8072023;ECONOMÍA;6;20;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;9072023;ECONOMÍA;6;20;23
20230627;80910;CUSCO;LA CONVENCIÓN;PICHARI;2023;2023-1;10072023;ECONOMÍA;6;20;17
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;11072023;ECONOMÍA;6;20;23
20230627;80905;CUSCO;LA CONVENCIÓN;OCOBAMBA;2023;2023-1;12072023;ECONOMÍA;6;20;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;13072023;ECONOMÍA;6;20;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;14072023;ECONOMÍA;6;20;26
20230627;80907;CUSCO;LA CONVENCIÓN;KIMBIRI;2023;2023-1;15072023;ECONOMÍA;6;20;17
20230627;80301;CUSCO;ANTA;ANTA;2023;2023-1;16072023;ECONOMÍA;6;20;17
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;17072023;ECONOMÍA;6;20;31
20230627;80903;CUSCO;LA CONVENCIÓN;HUAYOPATA;2023;2023-1;18072023;ECONOMÍA;6;20;18
20230627;80915;CUSCO;LA CONVENCIÓN;KUMPIRUSHIATO;2023;2023-1;19072023;ECONOMÍA;6;20;17
20230627;80904;CUSCO;LA CONVENCIÓN;MARANURA;2023;2023-1;20072023;ECONOMÍA;6;20;17
20230627;80106;CUSCO;CUSCO;SANTIAGO;2023;2023-1;21072023;ECONOMÍA;6;20;16
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;22072023;ECONOMÍA;6;20;17
20230627;80907;CUSCO;LA CONVENCIÓN;KIMBIRI;2023;2023-1;23072023;ECONOMÍA;6;20;19
20230627;80908;CUSCO;LA CONVENCIÓN;SANTA TERESA;2023;2023-1;24072023;ECONOMÍA;6;20;28
20230627;80907;CUSCO;LA CONVENCIÓN;KIMBIRI;2023;2023-1;25072023;ECONOMÍA;6;20;18
20230627;80907;CUSCO;LA CONVENCIÓN;KIMBIRI;2023;2023-1;26072023;ECONOMÍA;6;20;20
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;27072023;INGENIERÍA AGRONÓMICA TROPICAL;4;15;18
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;28072023;ECONOMÍA;6;20;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;29072023;ECONOMÍA;6;20;18
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;30072023;ECONOMÍA;6;20;20
20230627;80918;CUSCO;LA CONVENCIÓN;UNION ASHANINKA;2023;2023-1;31072023;ECONOMÍA;6;20;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;1082023;ECONOMÍA;6;20;18
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;2082023;ECONOMÍA;6;20;24
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;3082023;ECONOMÍA;6;20;21
20230627;80108;CUSCO;CUSCO;WANCHAQ;2023;2023-1;4082023;ECONOMÍA;6;20;18
20230627;80910;CUSCO;LA CONVENCIÓN;PICHARI;2023;2023-1;5082023;ECONOMÍA;6;20;17
20230627;80905;CUSCO;LA CONVENCIÓN;OCOBAMBA;2023;2023-1;6082023;ECONOMÍA;6;20;21
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;7082023;ECONOMÍA;6;20;20
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;8082023;ECONOMÍA;6;20;17
20230627;81306;CUSCO;URUBAMBA;OLLANTAYTAMBO;2023;2023-1;9082023;ECONOMÍA;6;20;28
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;10082023;ECONOMÍA;6;20;22
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;11082023;ECONOMÍA;6;20;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;12082023;ECONOMÍA;6;20;33
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;13082023;ECONOMÍA;6;20;34
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;14082023;ECONOMÍA;6;20;22
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;15082023;ECONOMÍA;6;20;32
20230627;81301;CUSCO;URUBAMBA;URUBAMBA;2023;2023-1;16082023;ECONOMÍA;6;20;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;17082023;ECOTURISMO;6;20;22
20230627;80911;CUSCO;LA CONVENCIÓN;INKAWASI;2023;2023-1;18082023;ECOTURISMO;7;22;16
20230627;80907;CUSCO;LA CONVENCIÓN;KIMBIRI;2023;2023-1;19082023;ECOTURISMO;7;22;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;20082023;ECOTURISMO;6;21;19
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;21082023;ECOTURISMO;6;20;19
20230627;80907;CUSCO;LA CONVENCIÓN;KIMBIRI;2023;2023-1;22082023;ECOTURISMO;3;10;18
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;23082023;ECOTURISMO;7;22;17
20230627;250201;UCAYALI;ATALAYA ;RAYMONDI;2023;2023-1;24082023;ECOTURISMO;7;22;18
20230627;80914;CUSCO;LA CONVENCIÓN;MEGANTONI;2023;2023-1;25082023;ECOTURISMO;5;15;19
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;26082023;ECOTURISMO;6;21;31
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;27082023;ECOTURISMO;6;22;21
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;28082023;ECOTURISMO;3;10;25
20230627;80914;CUSCO;LA CONVENCIÓN;MEGANTONI;2023;2023-1;29082023;ECOTURISMO;7;22;17
20230627;80101;CUSCO;CUSCO;CUSCO;2023;2023-1;30082023;ECOTURISMO;6;21;41
20230627;81301;CUSCO;URUBAMBA;URUBAMBA;2023;2023-1;31082023;ECOTURISMO;6;20;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;1092023;ECOTURISMO;7;22;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;2092023;ECOTURISMO;7;22;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;3092023;ECOTURISMO;6;20;20
20230627;80910;CUSCO;LA CONVENCIÓN;PICHARI;2023;2023-1;4092023;ECOTURISMO;7;22;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;5092023;ECOTURISMO;7;22;17
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;6092023;ECOTURISMO;6;21;22
20230627;80105;CUSCO;CUSCO;SAN SEBASTIAN;2023;2023-1;7092023;ECOTURISMO;5;17;23
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;8092023;ECOTURISMO;3;10;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;9092023;ECOTURISMO;7;22;19
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;10092023;ECOTURISMO;7;22;17
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;11092023;ECOTURISMO;3;9;23
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;12092023;ECOTURISMO;6;21;18
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;13092023;ECOTURISMO;6;21;20
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;14092023;ECOTURISMO;4;12;20
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;15092023;ECOTURISMO;6;21;21
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;16092023;ECOTURISMO;7;22;20
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;17092023;ECOTURISMO;7;22;18
20230627;80903;CUSCO;LA CONVENCIÓN;HUAYOPATA;2023;2023-1;18092023;ECOTURISMO;7;22;22
20230627;80103;CUSCO;CUSCO;POROY;2023;2023-1;19092023;ECOTURISMO;6;20;21
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;20092023;ECOTURISMO;5;19;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;21092023;ECOTURISMO;7;22;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;22092023;ECOTURISMO;6;22;18
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;23092023;ECOTURISMO;7;22;17
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;24092023;ECOTURISMO;3;11;21
20230627;80907;CUSCO;LA CONVENCIÓN;KIMBIRI;2023;2023-1;25092023;ECOTURISMO;7;22;20
